prevalence,system,replicates,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,cross_instance_error_rate_mean,cross_instance_error_rate_sd,cross_instance_error_rate_min,cross_instance_error_rate_max,cross_world_error_rate_mean,cross_world_error_rate_sd,cross_world_error_rate_min,cross_world_error_rate_max,unauthorized_disclosure_rate_mean,unauthorized_disclosure_rate_sd,unauthorized_disclosure_rate_min,unauthorized_disclosure_rate_max
0.1,B5b_policy_only,20,0.8372474747474747,0.0012889338018536197,0.8333333333333334,0.8390151515151515,0.3552777777777778,0.000726594949695271,0.3541666666666667,0.35694444444444445,0.06004901960784313,0.0025767523678325815,0.056372549019607844,0.0661764705882353,0.013194444444444444,0.019885862587883822,0.0,0.08333333333333333
0.1,B6_ncm_psi,20,0.9939709595959595,0.002063300816773883,0.990530303030303,0.9974747474747475,0.010208333333333333,0.00457934435665654,0.004166666666666667,0.019444444444444445,0.003553921568627451,0.0025736829773829926,0.0,0.00980392156862745,0.013194444444444444,0.019885862587883822,0.0,0.08333333333333333
0.2,B5_branch_scoped_character,20,0.7615214646464646,0.0013095192981750759,0.759469696969697,0.7638888888888888,0.3552777777777778,0.000726594949695271,0.3541666666666667,0.35694444444444445,0.06299019607843137,0.004434638558263246,0.058823529411764705,0.07352941176470588,0.6673611111111111,0.005472700872586205,0.6527777777777778,0.6805555555555556
0.2,B5a_lineage_only,20,0.9109532828282829,0.003643784837875546,0.9034090909090909,0.9179292929292929,0.02590277777777778,0.007937415100618852,0.013888888888888888,0.041666666666666664,0.007475490196078431,0.004389852129165539,0.0,0.014705882352941176,0.6673611111111111,0.005472700872586205,0.6527777777777778,0.6805555555555556
0.2,B5b_policy_only,20,0.835763888888889,0.001667469459324219,0.8327020202020202,0.8377525252525253,0.3552777777777778,0.000726594949695271,0.3541666666666667,0.35694444444444445,0.06299019607843137,0.004434638558263246,0.058823529411764705,0.07352941176470588,0.01597222222222222,0.01978348938488141,0.0,0.06944444444444445
0.2,B6_ncm_psi,20,0.9851957070707071,0.0040681107022779005,0.976010101010101,0.9911616161616161,0.02590277777777778,0.007937415100618852,0.013888888888888888,0.041666666666666664,0.007475490196078431,0.004389852129165539,0.0,0.014705882352941176,0.01597222222222222,0.01978348938488141,0.0,0.06944444444444445
0.3,B5_branch_scoped_character,20,0.7607007575757575,0.002152856215470707,0.7575757575757576,0.7664141414141414,0.3551388888888889,0.0013593346803599834,0.35138888888888886,0.35694444444444445,0.06384803921568627,0.005536520893035683,0.056372549019607844,0.07352941176470588,0.6729166666666666,0.011466360381693014,0.6527777777777778,0.6944444444444444
0.3,B5a_lineage_only,20,0.9054924242424243,0.004812734385697667,0.8983585858585859,0.9154040404040404,0.035069444444444445,0.009222484231464434,0.018055555555555554,0.05138888888888889,0.010294117647058823,0.004023444517980997,0.004901960784313725,0.01715686274509804,0.6729166666666666,0.011466360381693014,0.6527777777777778,0.6944444444444444
0.3,B5b_policy_only,20,0.834659090909091,0.0018649203387473843,0.8314393939393939,0.8377525252525253,0.3551388888888889,0.0013593346803599834,0.35138888888888886,0.35694444444444445,0.06384803921568627,0.005536520893035683,0.056372549019607844,0.07352941176470588,0.03055555555555555,0.028356543640780024,0.0,0.09722222222222222
0.3,B6_ncm_psi,20,0.9794507575757576,0.004659375446044219,0.9722222222222222,0.9880050505050505,0.035069444444444445,0.009222484231464434,0.018055555555555554,0.05138888888888889,0.010294117647058823,0.004023444517980997,0.004901960784313725,0.01715686274509804,0.03055555555555555,0.028356543640780024,0.0,0.09722222222222222
